"ID","message","score"
"NA","College is like kindergarten: I have no idea what I'm doing and I want a nap","59"
"NA","*aggressively doesn't wear a bra to finals*","53"
"NA","If I lay here. If I just lay here. Would you lie with me and just forget our test we have in an hour?","54"
"NA","Plot Twist:  *Frat guy walks into the library*  Asian guy: who do you know here?","52"
"NA","Remember the IB.","50"
"NA","Say perhaps to drugs","55"
"NA","I had a 4.0 before classes started I swear","60"
"NA","I hope graduate schools will accept me in spite of the tear stains on my transcript","60"
"NA","Just completed my undergraduate career. Celebratory beer and video games are already taking place ","58"
"NA","Girl I know posted about how she got a 99 on one of her finals. Yes, she does go to Cortland. ","63"
"NA","have my hardest final tomorrow. better get started cleaning my room till its spotless ","56"
"NA","I miss multiple choice tests with 4 choices.","71"
"NA","Showed up to an 8am exam only to realize that it's tomorrow so that's how my finals week is going","70"
"NA","Frat guy sits down with his notes to study before a test- 'what do I know here?'","60"
"NA","I just pulled my headphones out of my pocket, and they were not tangled. I'm now going to buy 10 lottery tickets.","59"
"NA","well at least I have a 4.0 on the 1-10 attractiveness scale. ","54"
"NA","That beautiful moment when kids you've never even freaking seen before magically appear in your class for the final ","44"
"NA","My life is falling apart faster than a Nature Valley bar","44"
"NA","Free-boobing this 8am final","33"
"NA","Fuck cancer.","29"
"NA","Can Geneseo plow the roads as hard as they plow their students? ","25"
"NA","There are people who use their phone in the bathroom and there are people who lie","22"
"NA","The only thing that's gonna get me through this final is knowing I can crawl back into my bed after it's over. ","19"
"NA","Everyone's having their mid-life crises at like 19","20"
"NA","Cortland students are currently scrambling to finish their macaroni projects ","20"
"NA","Going to bed early at 2:30am on the night before a final feels wrong. ","18"
"NA","Those people that you only hear from when they need something from you &lt;&lt;&lt;&lt; fuck off","17"
"NA","Out of meal plan and need $$ for coffee so tryna sell my boyfriend nudes for $5 a piece ","17"
"NA","I WILL COME INTO YOUR HOUSE AND FUCKING nap with you","19"
"NA","My roommates moaning and having conversations in her sleep 🆘","18"
"NA","Please leave your room and go play in the snow, and yell and be careless for five minutes to enjoy the little things in life ","18"
"NA","Give a man a blowfish, and he'll eat for a day. Teach a man to blow fish, and society thinks something's 'wrong' with you.","22"
"NA","Relationship goals: a relationship ","24"
"NA","When professors suddenly decide they want to be tough graders &lt;&lt;&lt; ","24"
"NA","Going to McDonald's for a salad is like going to a prostitute for a hug. ","24"
"NA","stuDYING! 😴😨😧😱","24"
"NA","Even staring at a wall becomes interesting while studying ","25"
"NA","I've been wearing the same pair of sweatpants for 5 days.","25"
"NA","#savemygpa2k14","25"
"NA","This time next week you'll be in your real home, inside your real room, snuggled in your real bed. ","25"
"NA","I don't care what people say. I'm excited to see my family but I'll always call Geneseo 'home.'","26"
"NA","Don't drop that GPA ayeee DONT THAT GPA DON'T DROP THAT GPA AY AYEE ","33"
"NA","How many more variations of 'fucked by my final' can we come up with?","34"
"NA","Yik yak may be anonymous, but please be respectful toward others. Posting negative yaks can be very destructive. Thank you","37"
"NA","Does anyone else get emotionally attached to tabs they've had open for a really long time??","51"
"NA","Sleeping next to someone you care about and cuddling with them throughout the night has to be one of the best feelings in the world ","46"
"NA","*strategically places garbage on top of overflowing cans in the library*","49"
"NA","F.I.N.A.L.S Fuck I never actually learned shit...","48"
"NA","Girls- I like guys with class. Guys- I like girls with curves. Me- I like classes with curves ","52"
"NA","Boy touches my hand and I can hardly breathe. I'm basically pathetic.","47"
"NA","Studying for finals? I've watched 'Elf' three times today. ","54"
"NA","My TA: don't cram, it doesn't work. Me: *crams* *makes it work* *face palms TA* ","56"
"NA","Anyone else who can't wait until they're married, to spend your life with someone who makes you infinitely happy? ","59"
"NA","That moment when you no longer care about finals and jut want to go home.","57"
"NA","'Hey, mom and dad! I'm so glad to be home for christmas! Also, I'm really sorry I wasted such a shit load of your money!'","67"
"NA","To quote Hamlet, Act III Scene III, Line 92,                                  'No.'","64"
"NA","Raise your hand if you have ever been personally victimized by finals week. ","64"
"NA","If I get married I am getting matiching full-body pajamas for me and my wife","53"
"NA","Number of people who still have finals next week ———————&gt;","67"
"NA","Calculating the grade you need in order to pass the class &gt; actually studying for the final. ","45"
"NA","At the point where I've just been drinking Smart Water and hoping it helps","38"
"NA","My mom just told me she thinks I'm going to find a great guy next semester... I really hope you're right","45"
"NA","'Meal plan or flex?' 'Do you accept yakarma?'","47"
"NA","Descartes: 'What does it mean to be?' Geneseo students: 'What do I need for a B?'","61"
"NA","Done with finals. ^ if you hate me. ","56"
"NA","Maybe if I friendzone my finals they'll stop trying to fuck me","63"
"NA","Went in a first date today instead of studying. Was actually a really fricken good stress relief.","55"
"NA","I'm going to put my GPA up for adoption because I can't raise it myself.","63"
"NA","Wait, so you claim to be broke but you smoking weed everyday? Priorities ","55"
"NA","Will you be paying for this on your meal plan? No take it from my printer balance please ","64"
"NA","*walks into Victoria's Secret* yes where are the wings?","66"
"NA","I want the sex, you want the sex. Let's do the sex. ","62"
"NA","50% of the freshman bio major won't continue bio 2 next semester","51"
"NA","Lots of freshman get to let their parents know they won't be future doctors and are no longer 'pre-bio' majors ","65"
"NA","We're all gonna look so stupid when that kid back in our hometown actually does become a rapper.","61"
"NA","If you're wondering whether or not you should ask her to 'come over'... Ask her to come over. Finals week is stressful ","66"
"NA","If you're wondering how my studying is going, I'm on season 3","61"
"NA","This essay is in FML format","56"
"NA","Lets all be less whiny and more wine-y. 🍷🍷","56"
"NA","'Free money for textbooks' That's not how this works, that's not how any of this works.","67"
"NA","Haven't gotten anything above a C on a test all semester and just pulled out an A on my first final 😏","62"
"NA","Geneseo: The slipperiest of all slopes, both academically and geographically ","63"
"NA","'If you feel bad because you didn't do well on a final, just remember someone in your hometown is still trying to become a rapper'","59"
"NA","Profs only give A's if it's torture, don't say I didn't say i didnt warn yah","45"
"NA","I do not give one fucks, two fucks, red fucks or blue fucks ","43"
"NA","SUNY Geneseo, 'the public ivy' - same stress, less money, less recognition. ","49"
"NA","I think we should be able to wait till after finals to fill out the SOFIs...","50"
"NA","During my physics test, the kid next to me started laughing quietly then seemed to take a 20 minute nap... I feel for ya bud","53"
"NA","Not double spacing your paper until a few pages in so you can surprise yourself with how much you actually have done.","51"
"NA","You know you go to a SUNY school when they think a curtain can double as a bathroom stall door","54"
"NA","Remember, pass or fail your dog you see in a few days will still love you ","62"
"NA","Legend has it that if you sneeze 10 times in a row during a final, somebody will get up and punch you in the face,","55"
"NA","The worst part about kissing a perfect 10 is how cold the mirror feels on your lips","54"
"NA","Bad news. I don't think I got the 450 I needed to pass this class...","60"
"NA","Did this bitch next to me in the lib just really unplug my computer and plug hers in? Get the fuck out!!!!","60"
"NA","I got gas for 1.08$ today. Too bad it was from Taco Bell","50"
"NA","I wish Geneseo Crushes updated quicker, I want my crush to see hers before she has an exam so that she'll get happy and do better ","59"
"NA","Fire alarm goes off in union. Everyone looks at each other. No one moves.","54"
"NA","Things I lose at college: my socks and my sanity. ","51"
"NA","We are the 99%.","49"
"NA","Hello stress pimples. We meet again. ","46"
"NA","I need a 94% on this cumulative final to pass or else I'll have to stay here an extra semester. Pray for me, friends. ","48"
"NA","Can I respond to my professor's email with 'listen motherfucker...' or no? ","46"
"NA","Pshhh, real exams have curves.","44"
"NA","If the VS angels had finals they'd look like us too ","49"
"NA","On the first day of finals my teacher gave to me, a big, fat, motherfucking D","45"
"NA","Walking into a test mad confident, walking out heartbroken ","41"
"NA","Trumor: the best time to wear a striped sweater, is all the time. ","45"
"NA","Amazing how 1% of the semester holds 99% of the stress","46"
"NA","The only reason I sit upstairs at MJ is so that I can look down on all the peasants and laugh","35"
"NA","Me and my boyfriend agreed no sex until finals are over. I would be upset but finals are fucking me harder than he ever could.","32"
"NA","A piece of paper that tells us to know everything is not a fucking study guide.","29"
"NA","On the first day of finals geneseo gave to me: a mediocre GPA ","28"
"NA","Fuck everybody with noncumulative finals","32"
"NA","I'll get the Hunger games cannons ready","28"
"NA","Need help studying and don't want to pop an adderall? For $10 I'll whack you with a stick when you get distracted ","22"
"NA","Oh my gosh I couldn't sleep and I'm up early in anticipation it's like Christmas except I'm crying and scared","24"
"NA","Cracked out on adderall at 130 you know you're doin it right 😳😳😳","20"
"NA","Brandishing a knife, it's Shia LaBeouf","20"
"NA","The worst thing is when you get your period mid finals week. No, vagina, I don't have time for your shit right now. ","22"
"NA","It seems like everyone and their cousin is on their period right now ","22"
"NA","Wish humans didn't need sleep. It's a damn waste of time","22"
"NA","Just saw a guy whose friend had to remind him that he lived south side and not north...","23"
"NA","Finals that are not cumulative are bae&lt;3","24"
"NA","Finally found my girlfriends g spot...it was in her best friends vagina","25"
"NA","Dogs don't need to take finals ","23"
"NA","Just remember how good it feels to be done with finals ","26"
"NA","If you are what you eat I'm going to eat a Victoria's Secret model. ","27"
"NA","How socially acceptable is it to go to the library in my pajamas and slippers? ","27"
"NA","Wifi acting up on finals week just proves how the SUNY government is trying to fuck us over","28"
"NA","I work my ass off in school and could tutor people in my classes yet my gpa doesn't show it. Ain't that a bitch ","29"
"NA","I said I would study all night. Ended up trying to find my hot math teacher from high school on Facebook and hitting her up.","31"
"NA","Nows the time to make a move on your crush so you can leave for break and come back after and awkwardly pretend nothing happened","34"
"NA","Please don't neglect your health. Do your best to sleep &amp; eat during this stressful time - it's so important!","38"
"NA","'T was the night before finals and I was drinking. End of story","41"
"NA","It's snowing. Snow often symbolizes death.","47"
"NA","Up if you are up ","51"
"NA","WHAT I LEARNED IN BOATING SCHOOL IS","50"
"NA","*knocks* 'RA on duty' 'No you're not'","49"
"NA","No bra, chapped lips, split ends, acne, stress, no motivation ","52"
"NA","I've been stuck in my chubby, awkward stage since I was 8. ","51"
"NA","'Twas the night before finals, and I can't rhyme for shit please someone help me I am so fucked. ","57"
"NA","'I'm going home to eat then study some more but I'm going to walk really slow and hope I get hit by a mid sized sedan on the way'","57"
"NA","Good thing the Victoria's Secret fashion show didn't last more than 4 hours otherwise I would've had to call a doctor","53"
"NA","Wanted to stab my group partners. Didn't. So yea, I accomplished something today ","53"
"NA","Well now I feel inadequate about both my brain and my body #finalsweekfashionshow","62"
"NA","Remember when we would all give ourselves hickies on our arms back in elementary school... That was really fucking weird ","58"
"NA","Finals at Geneseo are like VS models. They got no curves.","54"
"NA","4.0                             🏃 come back","53"
"NA","All I want is a boyfriend who will love me for who I am, support me, be kind, make me laugh and fuck me like there's no tomorrow","47"
"NA","I wish all this stress eating would go to my boobs ","51"
"NA","Raise your hand if you're are on here because you're procrastinating🙋. Now get back to work ya filthy animals. ","57"
"NA","Remember: Orgasms release endorphins which lower stress levels! ;)","66"
"NA","'Twas the night before finals and all through Geneseo, fuck this poem I need to study for cell bio. ","65"
"NA","'YOU. SHALL. NOT. PASSSSSS!!!!!'","60"
