vocabulary,about_ethnicity,about_nationality,about_religion,about_gender,about_sexual_orientation,about_disability,about_class,offensiveness
race traitor,1,0,0,0,0,0,0,0.00
raghead,1,0,0,0,0,0,0,0.00
red bone,1,0,0,0,0,0,0,0.00
redlegs,1,0,0,0,0,0,0,0.00
redskin,1,0,0,0,0,0,0,0.89
rico suave,1,0,0,0,0,0,0,0.00
roofucker,1,1,0,0,0,0,0,0.93
roundeye,1,0,0,0,0,0,0,0.00
sambo,1,0,0,0,0,0,0,0.00
semihole,1,0,0,0,0,0,0,0.00
shade,1,0,0,0,0,0,0,0.00
shanty irish,1,1,0,0,0,0,0,0.00
sheeny,1,0,0,0,0,0,0,0.00
sheister,1,0,0,0,0,0,0,0.00
shelta,1,1,0,0,0,0,0,0.00
shine,1,0,0,0,0,0,0,0.00
shiner,1,0,0,0,0,0,0,0.00
shit heel,1,0,0,0,0,0,0,0.00
shy,1,0,0,0,0,0,0,0.00
shylock,1,0,0,0,0,0,0,0.00
shyster,1,0,0,0,0,0,0,1.00
sideways cooter,1,1,0,0,0,0,0,0.00
sideways pussy,1,1,0,0,0,0,0,0.48
sideways vagina,1,1,0,0,0,0,0,0.00
skip,1,1,0,0,0,0,0,0.00
skippy,1,1,0,0,0,0,0,0.00
slant,1,0,0,0,0,0,0,0.00
slant eye,1,0,0,0,0,0,0,0.00
slit,1,0,0,0,0,0,0,0.00
slope,1,0,0,0,0,0,0,0.00
slopehead,1,0,0,0,0,0,0,0.00
slopey,1,0,0,0,0,0,0,0.00
slopy,1,0,0,0,0,0,0,0.00
smoke jumper,1,0,0,0,0,0,0,0.00
smoked irish,1,1,0,0,0,0,0,0.00
smoked irishman,1,1,0,0,0,0,0,0.03
snowflake,1,0,0,0,0,0,0,0.00
sole,1,1,0,0,0,0,0,0.00
sooty,1,0,0,0,0,0,0,0.00
spade,1,0,0,0,0,0,0,0.00
spear chucker,1,0,0,0,0,0,0,0.00
spic,1,0,0,0,0,0,0,0.89
spice nigger,1,0,0,0,0,0,0,0.50
spick,1,0,0,0,0,0,0,0.00
